rowuniqueId,datasetId,datasetDate,datasetClassId,ldbTradKey,settlementSystem,settlementStatus,frontOfficeTradeId,tradingBookCode,settlementbookCode,isMatured,productType,bookhierarchyId,sapAccountId,principalBranchSDSID,principalBranchName,principal_bplc_group_legalentity,principal_bblc_group_legalentity,principal_bplc_dolsub_legalentity,principal_bblc_dolsub_legalentity,counterpartySDSID,counterpartyType,counterpartyID,transactionslCurrency,name,mail,ssn,creditCardNumber,country,collateralValue,CashAmount,marketValue,DerivedName,DerivedMail,DerivedCountry,DerivedCountryCode,is_pii,is_gdpr,is_geoRestricted
7827e0ec-0bc0-4298-9254-93ab3314e815,e5dca7c3-924,20240302,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,33237-8,OperTreas,77715,True,NULL,49821,995061,244631,BUK,Y,Y,N,Y,646841,internal,801890,MXN,Wilson Smith,restricted,restricted,7960-6658-4331,Singapore,944415.7380144458,931483.0339414261,241293.05442745917,Wilson Smith,restricted,Singapore,SG,False,False,False
a7cefe16-67d9-4fb1-b6c2-272fb0d5e878,64024c27-261,20100731,UnsecuredFunding_ACBS,NULL,ACBS,Settled,5731-9,Cash/Rish Hub BUK,56809,False,FUTR,55661,855336,994880,BPLC,N,Y,Y,N,517811,external,455091,GBP,Edward Jones,restricted,252-93-1914,1717-8214-1487,Israel,154283.8216380704,31875.269248866105,737435.8468104284,Edward Jones,restricted,Israel,IL,False,False,False
dfa0651e-f557-4348-9005-86a91eb3c4a1,a10060ff-6f5,20160824,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,71890-0,OperTreas,63738,True,FUSD,94053,60957,275175,BBLC,Y,N,N,N,394539,external,792518, KRW,Taylor Taylor,restricted,474-15-9382,4757-6969-5225,Luxembourg,710284.5680118684,32996.274199423526,607596.4153866387,Taylor Taylor,restricted,Luxembourg,LU,False,True,False
e67ef399-c7fd-4592-82f3-86f3e98aaefe,ff5dcd83-4b4,20240401,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,42512-3,OperTreas,16958,False,restricted,80775,400422,566628,BUK,N,N,Y,N,887515,external,565417,NZD,Hannah RutherFord,restricted,828-72-4616,3061-9455-1524,United Kingdom,139954.77690320084,671440.9277619435,785647.3398975955,Hannah RutherFord,restricted,United Kingdom,GB,False,False,False
e123a24d-c0aa-4bd2-a061-8a2a5c2fc882,b69ed008-d21,20070215,UnsecuredFunding_ACBS,NULL,ACBS,Settled,61591-8,Investment BANK hub,54146,True,FUSD,35717,634625,80889,BPLC,Y,N,N,Y,903547,internal,301262,EUR,restricted,restricted,restricted,4543-8819-2686,Italy,527923.5519920575,443092.6864315322,6569.89377765006,restricted,restricted,Italy,IT,True,True,False
3f3069ef-164c-441a-9cf7-d9bf4f2ecc70,e7724d30-2b5,20190217,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,94708-1,Investment BANK hub,52337,True,FUSD,16844,535565,894793,BPLC,Y,N,Y,Y,5434,external,288626,SGD,Jane Smith,restricted,restricted,6249-3835-8521,United Arab Emirates,434479.7920114616,231290.08264905686,140461.63993365096,Jane Smith,restricted,United Arab Emirates,AE,False,False,True
0429df5f-201d-44ab-b04e-7779dc775e9a,1df4f956-197,20100614,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,7730-6,OperTreas,61489,False,FUSD,5194,410960,403389,BBLC,Y,N,Y,Y,106059,internal,470719,GBP,Taylor Smith,restricted,restricted,1236-3414-9350,Switzerland,294677.11280033045,265637.2065388894,534073.9013815026,Taylor Smith,restricted,Switzerland,CH,False,True,False
58fb7c7a-2590-4354-99c6-638c0d154135,64065fd8-77e,20190925,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,33792-7,Investment BANK hub,60828,False,FUTR,87585,400887,541182,BUK,Y,N,N,Y,611414,internal,206728,RUB,Moore Miller,restricted,restricted,2892-7662-3313,United Arab Emirates,938609.7028026588,362566.63591173495,429138.9129497868,Moore Miller,restricted,United Arab Emirates,AE,False,False,True
9791c732-6361-42c2-899c-19627c474f6c,bfc4b230-ca9,20210227,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,57304-6,Cash/Rish Hub BUK,53460,True,FUTR,59729,700219,719233,BUK,Y,Y,N,N,613685,external,616328,SEK,restricted,person8@example.com,restricted,2583-4713-4983,Luxembourg,157076.17003326528,505664.95706972416,209808.8931613635,restricted,person8@example.com,Luxembourg,LU,False,True,False
405dbe0b-6d30-414a-a1d9-6e9a4926126c,b3325e84-f1b,20140416,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,38582-9,Investment BANK hub,16128,False,FUTR,17317,840659,583080,BPLC,N,N,N,N,4088,internal,607777,EUR,restricted,restricted,restricted,8383-4211-1991,United Arab Emirates,757416.4611665693,24300.203444461815,847641.8075184434,restricted,restricted,United Arab Emirates,AE,True,False,True
da777c37-c9fe-4618-8cd9-4a5937be9e26,10932b09-383,20200620,UnsecuredFunding_ACBS,NULL,ACBS,Settled,8923-6,OperTreas,46154,False,FUSD,39267,289572,983394,BPLC,N,Y,Y,N,18074,internal,814188,INR,restricted,restricted,restricted,5945-5767-8267,Hong Kong,407755.3302901516,523590.99801097036,710374.8202449894,restricted,restricted,Hong Kong,HKG,True,False,False
ffacad31-0417-4f37-9604-bc165b5dfd6e,c27892fd-426,20211116,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,55477-2,Investment BANK hub,37559,True,FUTR,61036,987313,881630,BBLC,N,N,N,N,917656,external,664659,CHF,Edward Davis,person11@example.com,restricted,2750-5774-6062,China,161893.56904964845,475807.54914420773,432174.77037065505,Edward Davis,person11@example.com,China,CN,False,False,True
fa2e0b82-3c46-4bde-bcfd-409f49cb960f,dfd8e4b9-493,20151026,UnsecuredFunding_ACBS,NULL,ACBS,Settled,7654-1,Investment BANK hub,73882,False,VanillaCap,14166,768938,803723,BPLC,Y,Y,Y,Y,608189,internal,714365,GBP,restricted,person12@example.com,restricted,3985-2274-7301,Lithuania,216311.21878868542,963732.0756759306,129305.67423242965,restricted,person12@example.com,Lithuania,LT,False,True,False
98c1bd4b-4837-4109-84f9-3d9f26e4be58,09fbf145-fcf,20090324,UnsecuredFunding_ACBS,NULL,ACBS,Settled,4746-9,OperTreas,54553,False,VanillaCap,90432,76857,760343,BUK,N,N,N,Y,530766,external,662964,ZAR,restricted,person13@example.com,992-80-6434,7423-4920-5261,Australia,568991.2534479758,315807.62706085335,521832.02699900087,restricted,person13@example.com,Australia,AU,False,False,False
6e4ddf84-bbba-4056-ae5a-ec084058cde3,8d1317ed-3b4,20090711,UnsecuredFunding_ACBS,NULL,ACBS,Not yet Settled,86095-3,Investment BANK hub,5877,False,VanillaCap,54395,127468,922308,BUK,Y,N,Y,N,474127,external,559646,ZAR,Diana Johnson,restricted,restricted,2773-7934-7999,Singapore,437149.577866684,282129.2444689942,719794.3912504162,Diana Johnson,restricted,Singapore,SG,False,False,False
dd2c41f8-af59-4496-b2b4-736ccfd57f9a,1c3d16d0-737,20210330,UnsecuredFunding_ACBS,NULL,ACBS,Settled,18701-4,OperTreas,43219,True,NULL,28426,84218,480020,BPLC,N,Y,N,Y,672713,internal,936308,ZAR,restricted,restricted,548-18-1733,8627-3163-2644,Germany,533716.9480898046,19266.36333690143,320133.7986562918,restricted,restricted,Germany,DE,False,True,True
